"SIIIR","Denumire","Categorie","SIRUTA","Localitate","Judet"
"2961102604","LICEUL TEORETIC ""ȘERBAN VODĂ"", ORAȘUL SLĂNIC","Liceu",131586,"SLĂNIC","PH"
"2961101571","ȘCOALA PROFESIONALĂ, COMUNA STARCHIOJD","Școală profesională / Învățământ dual",135324,"STARCHIOJD","PH"
"2961102988","LICEUL TEHNOLOGIC ""CAROL I"", COMUNA VALEA DOFTANEI","Liceu tehnologic / Școală profesională",136116,"TEŞILA","PH"
"2961102753","LICEUL TEHNOLOGIC ""GHEORGHE IONESCU-SISEȘTI"", COMUNA VALEA CĂLUGĂREASCĂ","Liceu",135958,"VALEA CĂLUGĂREASCĂ","PH"
"2961103035","LICEUL TEHNOLOGIC AGROMONTAN ""ROMEO CONSTANTINESCU"", ORAȘUL VĂLENII DE MUNTE","Liceu tehnologic / Școală profesională",131826,"VĂLENII DE MUNTE","PH"
"3261101724","COLEGIUL TEHNIC ""AUGUST TREBONIU LAURIAN"" AGNITA","Colegiu",143691,"AGNITA","SB"
"3261102024","LICEUL TEHNOLOGIC MÂRŞA","Liceu tehnologic / Școală profesională",144063,"AVRIG","SB"
"3261100203","LICEUL TEHNOLOGIC CISNĂDIE","Liceu tehnologic / Școală profesională",143744,"CISNĂDIE","SB"
"3261100171","LICEUL TEHNOLOGIC ""NICOLAE TECLU"" COPȘA MICĂ","Liceu tehnologic / Școală profesională",143780,"COPŞA MICĂ","SB"
"3261100094","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ DUMBRĂVENI","Centru special de educație incluzivă",143815,"DUMBRĂVENI","SB"
"3261101145","LICEUL ""TIMOTEI CIPARIU"" DUMBRĂVENI","Liceu tehnologic / Școală profesională",143815,"DUMBRĂVENI","SB"
"3261102033","LICEUL TEHNOLOGIC IACOBENI","Liceu",144660,"IACOBENI","SB"
"3261101882","COLEGIUL ""ŞCOALA NAŢIONALĂ DE GAZ"" MEDIAŞ","Colegiu",143628,"MEDIAŞ","SB"
