"siiir","denumire","categorie","siruta","localitate","judet"
"1261103256","COLEGIUL TEHNIC DE TRANSPORTURI ""TRANSILVANIA"" CLUJ-NAPOCA","Liceu tehnologic / Școală profesională","54984","CLUJ-NAPOCA","CJ"
"1261104596","COLEGIUL TEHNIC ENERGETIC CLUJ-NAPOCA","Școală postliceală","54984","CLUJ-NAPOCA","CJ"
"1261100244","COLEGIUL TEHNIC ""RALUCA RIPAN"" CLUJ-NAPOCA","Școală postliceală","54984","CLUJ-NAPOCA","CJ"
"1261103808","LICEUL CU PROGRAM SPORTIV CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261102608","LICEUL DE ARTE VIZUALE ""ROMULUS LADEA"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261103993","LICEUL DE COREGRAFIE ȘI ARTĂ DRAMATICĂ ""OCTAVIAN STROIA"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261103369","LICEUL DE INFORMATICĂ ""TIBERIU POPOVICIU"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261102757","LICEUL GRECO-CATOLIC ""INOCHENTIE MICU"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261103595","LICEUL SPECIAL PENTRU DEFICIENȚI DE VEDERE CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261102291","LICEUL TEHNOLOGIC ""ALEXANDRU BORZA"" CLUJ-NAPOCA","Școală postliceală","54984","CLUJ-NAPOCA","CJ"
"1261103003","LICEUL TEHNOLOGIC ""AUREL VLAICU"" CLUJ-NAPOCA","Liceu tehnologic / Școală profesională","54984","CLUJ-NAPOCA","CJ"
"1261105041","LICEUL TEHNOLOGIC NR. 1 CLUJ-NAPOCA","Liceu tehnologic / Școală profesională","54984","CLUJ-NAPOCA","CJ"
"1261102902","LICEUL TEHNOLOGIC SPECIAL PENTRU DEFICIENȚI DE AUZ CLUJ-NAPOCA","Liceu tehnologic / Școală profesională","54984","CLUJ-NAPOCA","CJ"
"1261100113","LICEUL TEOLOGIC ADVENTIST ""MARANATHA"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261103401","LICEUL TEOLOGIC BAPTIST ""EMANUEL"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261104836","LICEUL TEOLOGIC REFORMAT CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261104759","LICEUL TEORETIC ""APACZAI CSERE JANOS"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261103749","LICEUL TEORETIC ""AVRAM IANCU"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261103066","LICEUL TEORETIC ""BATHORY ISTVAN"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261102445","LICEUL TEORETIC ""BRASSAI SAMUEL"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261103903","LICEUL TEORETIC ""EUGEN PORA"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261104994","LICEUL TEORETIC ""LUCIAN BLAGA"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
"1261103609","LICEUL TEORETIC ""MIHAI EMINESCU"" CLUJ-NAPOCA","Liceu","54984","CLUJ-NAPOCA","CJ"
